다나, 65, 192
다파, 57, 172
파라, 57, 162
타라, 57, 194
다바, 69, 191
나차, 67, 181
타차, 82, 199
나사, 79, 171
나바, 45, 167
마라, 63, 169
카사, 70, 194
나파, 96, 153
나마, 54, 180
나차, 42, 166
라마, 75, 171
차나, 83, 180
라카, 75, 145
차다, 40, 153
하타, 88, 140
파차, 88, 149
카타, 90, 165
라카, 43, 169
아파, 42, 142
사마, 74, 169
자마, 50, 149
자바, 56, 151
파타, 83, 145
자카, 81, 197
파자, 40, 190
바자, 69, 163
가카, 63, 181
카나, 53, 182
하바, 40, 142
아타, 79, 177
아차, 43, 189
하차, 91, 148
하타, 42, 193
마카, 55, 184
다타, 77, 193
다자, 88, 196
자가, 73, 195
카자, 40, 184
사사, 94, 175
하타, 59, 193
아하, 94, 162
카가, 71, 167
타나, 87, 160
가가, 49, 173
타아, 53, 170
타사, 77, 140
카아, 78, 148
나자, 78, 183
차나, 56, 177
파바, 83, 197
라라, 46, 171
하자, 43, 171
차마, 71, 193
바자, 69, 193
자아, 64, 168
바카, 46, 184
나파, 98, 142
다라, 66, 194
가마, 57, 156
라가, 45, 181
다파, 63, 190
타마, 54, 190
자사, 72, 163
라나, 98, 170
가마, 78, 178
차바, 59, 185
카나, 70, 145
사사, 63, 167
타하, 75, 186
사하, 40, 140
다가, 49, 180
바자, 92, 152
차다, 46, 145
아타, 57, 176
바가, 40, 159
파나, 81, 174
마라, 66, 141
차사, 82, 144
사마, 40, 144
하차, 49, 159
나가, 43, 144
다타, 77, 142
차가, 73, 188
사가, 98, 199
나타, 41, 188
마사, 99, 180
다자, 61, 186
마카, 69, 155
사파, 79, 187
바바, 79, 178
사카, 81, 146
타차, 78, 142
나카, 97, 161
차자, 44, 150
사사, 83, 148
타마, 57, 177
마아, 76, 199
차하, 86, 175
카자, 61, 149
바하, 63, 168
차아, 52, 141
사바, 91, 174
아카, 70, 178
다사, 97, 197
하아, 54, 166
사바, 99, 172
차하, 76, 150
자하, 81, 148
아아, 92, 158
마자, 97, 149
하라, 74, 155
카하, 95, 173
하마, 84, 155
마파, 44, 145
자파, 80, 194
가아, 95, 183
가사, 48, 151
하마, 87, 158
라나, 88, 146
아아, 44, 159
아자, 85, 184
다다, 72, 141
파자, 45, 144
아하, 60, 188
가바, 51, 155
차하, 41, 183
아하, 70, 161
나나, 90, 159
바파, 57, 154
라사, 86, 169
나라, 53, 150
카사, 77, 163
바가, 84, 199
카타, 64, 186
타타, 44, 157
사라, 88, 177
라라, 90, 140
타타, 59, 175
아카, 78, 169
라차, 69, 179
라가, 78, 165
가가, 97, 168
차마, 83, 157
마차, 56, 197
가카, 93, 175
타라, 50, 143
파파, 43, 196
차가, 82, 183
나다, 71, 172
바다, 94, 141
파자, 71, 190
사카, 71, 149
파자, 90, 158
차바, 83, 173
다카, 76, 179
카라, 69, 153
나하, 72, 173
카타, 83, 182
라타, 75, 176
하차, 84, 159
바나, 41, 192
라라, 61, 161
하가, 98, 188
사카, 76, 161
가자, 91, 153
타카, 65, 188
바다, 95, 195
카마, 41, 160
하라, 43, 156
하하, 76, 146
파차, 98, 189
가아, 49, 169
자마, 91, 155
하사, 67, 147
나가, 71, 142
라바, 50, 169
사다, 76, 184
라파, 48, 158
가타, 40, 173
파바, 84, 189
다카, 61, 191
바파, 81, 187
하바, 50, 164
파카, 97, 176
라파, 61, 173
타사, 43, 198
라다, 75, 185
나차, 81, 178
하아, 77, 150
타자, 88, 141
타마, 62, 143
다나, 95, 191
타다, 93, 188
아타, 66, 193
아마, 72, 189
타라, 61, 141
자나, 67, 160
하라, 44, 191
자바, 74, 179
자바, 59, 177
카타, 71, 153
사바, 76, 192
파가, 62, 161
하타, 72, 189
사다, 55, 148
자나, 68, 168
바자, 68, 165
하라, 76, 168
카나, 96, 150
다마, 88, 162
마라, 92, 147
다사, 40, 197
하가, 40, 157
다나, 50, 175
차다, 77, 172
아하, 54, 158
자나, 74, 147
바마, 64, 169
타파, 70, 181
다타, 46, 176
나타, 46, 194
사가, 71, 162
자사, 80, 157
바파, 83, 165
다사, 45, 199
차라, 56, 189
다나, 66, 168
나가, 67, 190
나자, 66, 197
아나, 90, 195
아자, 86, 169
자타, 79, 169
아카, 84, 184
바바, 57, 173
자타, 96, 160
파사, 58, 160
사타, 72, 172
마마, 72, 152
바마, 90, 155
바라, 64, 199
타가, 98, 172
라나, 50, 166
다타, 67, 182
다마, 95, 183
아마, 70, 154
아타, 42, 189
아차, 66, 167
하바, 43, 189
사파, 89, 182
마나, 66, 177
하바, 84, 165
카다, 64, 186
하아, 71, 169
다가, 43, 191
가가, 40, 149
아하, 47, 184
나바, 75, 175
타마, 46, 187
자사, 60, 160
차자, 58, 160
자가, 69, 195
가나, 96, 168
카가, 59, 171
다나, 97, 195
바아, 89, 196
파라, 63, 183
바라, 76, 182
카라, 73, 164
사타, 53, 152
마가, 55, 151
타나, 46, 191
마타, 79, 170
바라, 78, 173
라카, 92, 196
가파, 65, 183
파카, 77, 180
차다, 59, 156
아아, 83, 160
바카, 54, 159
파카, 74, 171
다하, 69, 151
자파, 46, 168
가나, 60, 181
나차, 66, 142
차다, 73, 149
바카, 65, 160
가카, 59, 151
마나, 48, 163
사타, 66, 176
다바, 78, 151
마바, 90, 193
카타, 57, 155
타파, 67, 141
자카, 70, 156
사하, 98, 190
타파, 67, 148
자가, 79, 169
나다, 47, 179
바바, 41, 190
하하, 60, 144
타사, 87, 176
파가, 75, 140
타카, 53, 176
사바, 85, 162
라타, 58, 193
파바, 64, 158
라타, 70, 170
파사, 45, 189
자마, 88, 152
파라, 63, 182
마타, 60, 161
가사, 51, 158
가카, 62, 149
하자, 74, 170
타가, 90, 181
파아, 84, 187
하타, 72, 167
차파, 87, 149
가마, 66, 151
차자, 42, 142
라마, 82, 141
라타, 91, 196
타파, 68, 191
사나, 54, 186
나자, 41, 196
카자, 81, 185
타하, 84, 196
파파, 74, 153
하나, 51, 141
바파, 85, 146
나나, 96, 198
마사, 79, 176
차바, 89, 190
바타, 54, 199
타타, 40, 190
아바, 59, 158
아가, 61, 160
하차, 56, 169
카마, 64, 173
가라, 78, 199
사나, 97, 196
나나, 70, 188
사타, 59, 170
아하, 90, 142
나자, 49, 158
가라, 93, 140
바바, 46, 155
가라, 72, 193
사차, 95, 172
사나, 81, 182
바가, 80, 166
다파, 71, 156
하라, 57, 145
하하, 72, 161
나자, 77, 161
다마, 43, 164
파아, 66, 146
아아, 53, 160
나파, 95, 198
차카, 57, 168
마하, 41, 151
타카, 53, 190
하사, 98, 170
카아, 41, 141
하카, 80, 161
다바, 49, 197
자카, 86, 196
라자, 44, 187
차차, 58, 168
라타, 42, 144
타카, 67, 151
타라, 72, 164
바가, 74, 177
카라, 45, 145
다다, 66, 194
파카, 50, 148
파하, 71, 183
나자, 54, 142
다마, 70, 179
마나, 48, 176
카카, 47, 186
다나, 64, 156
하하, 64, 158
라다, 58, 190
차자, 85, 181
가카, 57, 152
타하, 53, 158
아타, 70, 167
타마, 67, 198
가하, 66, 169
타마, 61, 145
가파, 77, 169
차자, 84, 177
라가, 47, 159
라사, 75, 150
파가, 59, 160
자나, 52, 199
카아, 54, 194
카바, 94, 199
다하, 86, 140
사타, 44, 173
가사, 50, 193
파다, 66, 146
라파, 90, 154
라마, 54, 154
아사, 45, 195
다가, 72, 152
아다, 80, 177
나타, 63, 164
자마, 85, 166
카바, 93, 199
다차, 79, 181
하차, 54, 176
하아, 40, 144
나가, 59, 150
차마, 48, 166
다자, 83, 145
라마, 97, 192
바바, 50, 174
카카, 65, 155
가타, 61, 195
가바, 91, 162
라차, 72, 145
차아, 97, 198
가아, 61, 181
차나, 78, 195
자카, 50, 177
마카, 41, 182
라마, 56, 191
사아, 65, 182
타사, 77, 186
자사, 59, 143
아마, 64, 158
나라, 40, 148
자바, 97, 173
바아, 58, 147
다파, 86, 194
자사, 77, 198
하바, 65, 189
사나, 89, 157
가가, 45, 155
카카, 41, 148
가파, 54, 164
자자, 93, 146
타마, 78, 172
타가, 76, 191
사차, 86, 191
카아, 67, 187
파하, 68, 173
타바, 74, 180
바다, 58, 144
사바, 40, 191
